Zeitstempel,Age,Experience [Escape Rooms],Experience [Chatbots],Experience [Text-Adventure Games],Experience [Computer Games],Experience [English Language]
12.06.2023 13:46:19,23,no experience,a little experienced,a little experienced,a little experienced,very experienced
12.06.2023 14:31:21,23,no experience,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 18:43:11,26,very experienced,very experienced,very experienced,very experienced,very experienced
14.06.2023 19:21:08,26,very experienced,very experienced,very experienced,very experienced,very experienced
14.06.2023 19:52:53,26,very experienced,very experienced,very experienced,very experienced,very experienced
10.06.2023 15:33:04,21,a little experienced,a little experienced,a little experienced,very experienced,very experienced
12.06.2023 20:09:55,21,a little experienced,a little experienced,a little experienced,very experienced,very experienced
12.06.2023 20:21:40,21,a little experienced,a little experienced,a little experienced,very experienced,very experienced
13.06.2023 14:48:32,27,a little experienced,a little experienced,no experience,very experienced,very experienced
13.06.2023 15:44:05,27,a little experienced,a little experienced,no experience,very experienced,very experienced
14.06.2023 22:54:59,25,no experience,a little experienced,a little experienced,very experienced,very experienced
14.06.2023 23:11:17,25,no experience,a little experienced,a little experienced,very experienced,very experienced
14.06.2023 23:23:50,25,no experience,a little experienced,a little experienced,very experienced,very experienced
14.06.2023 13:19:59,20,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 14:23:17,20,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 23:15:05,19,very experienced,a little experienced,very experienced,very experienced,very experienced
14.06.2023 23:33:53,19,a little experienced,a little experienced,very experienced,very experienced,very experienced
14.06.2023 23:50:31,19,a little experienced,a little experienced,very experienced,very experienced,very experienced
14.06.2023 23:27:07,25,a little experienced,very experienced,no experience,very experienced,very experienced
15.06.2023 00:06:04,25,a little experienced,very experienced,no experience,very experienced,very experienced
09.06.2023 09:43:52,26,very experienced,very experienced,a little experienced,very experienced,very experienced
10.06.2023 10:45:18,31,a little experienced,very experienced,a little experienced,very experienced,very experienced
10.06.2023 15:54:03,31,a little experienced,very experienced,a little experienced,very experienced,very experienced
11.06.2023 13:36:00,18,a little experienced,a little experienced,a little experienced,very experienced,very experienced
11.06.2023 14:08:24,30,a little experienced,a little experienced,a little experienced,very experienced,very experienced
11.06.2023 16:31:19,24,a little experienced,a little experienced,no experience,very experienced,very experienced
11.06.2023 19:32:11,24,very experienced,a little experienced,very experienced,a little experienced,a little experienced
11.06.2023 19:48:15,24,no experience,no experience,a little experienced,no experience,no experience
12.06.2023 10:55:54,26,a little experienced,a little experienced,no experience,very experienced,very experienced
12.06.2023 15:17:12,23,no experience,a little experienced,a little experienced,a little experienced,very experienced
12.06.2023 23:48:32,21,very experienced,a little experienced,very experienced,very experienced,very experienced
13.06.2023 05:59:50,28,no experience,a little experienced,a little experienced,very experienced,very experienced
13.06.2023 08:40:18,28,a little experienced,a little experienced,a little experienced,very experienced,very experienced
13.06.2023 09:14:57,26,a little experienced,a little experienced,no experience,a little experienced,very experienced
13.06.2023 10:54:21,29,a little experienced,a little experienced,a little experienced,very experienced,very experienced
13.06.2023 14:14:29,26,a little experienced,a little experienced,a little experienced,very experienced,very experienced
13.06.2023 14:55:42,21,very experienced,a little experienced,very experienced,very experienced,very experienced
13.06.2023 17:42:26,23,a little experienced,no experience,very experienced,a little experienced,very experienced
13.06.2023 17:55:10,23,a little experienced,no experience,a little experienced,a little experienced,no experience
13.06.2023 18:10:56,22,a little experienced,a little experienced,a little experienced,a little experienced,no experience
13.06.2023 18:26:10,23,a little experienced,a little experienced,no experience,a little experienced,no experience
13.06.2023 18:47:02,23,a little experienced,no experience,a little experienced,a little experienced,no experience
13.06.2023 19:43:34,26,a little experienced,a little experienced,no experience,a little experienced,very experienced
13.06.2023 20:18:47,30,a little experienced,a little experienced,a little experienced,very experienced,very experienced
13.06.2023 20:54:20,26,a little experienced,very experienced,a little experienced,very experienced,very experienced
13.06.2023 20:54:24,26,a little experienced,a little experienced,no experience,a little experienced,very experienced
13.06.2023 21:08:11,23,a little experienced,very experienced,very experienced,a little experienced,very experienced
13.06.2023 21:17:30,26,a little experienced,very experienced,a little experienced,very experienced,very experienced
13.06.2023 22:24:53,20,a little experienced,a little experienced,a little experienced,a little experienced,very experienced
13.06.2023 22:50:32,23,very experienced,very experienced,very experienced,a little experienced,very experienced
13.06.2023 23:47:51,27,a little experienced,very experienced,no experience,very experienced,very experienced
13.06.2023 23:50:29,25,a little experienced,a little experienced,no experience,very experienced,very experienced
14.06.2023 00:02:51,27,a little experienced,very experienced,a little experienced,very experienced,very experienced
14.06.2023 00:18:46,23,very experienced,very experienced,very experienced,very experienced,very experienced
14.06.2023 00:20:46,25,a little experienced,a little experienced,no experience,very experienced,very experienced
14.06.2023 00:25:26,26,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 08:17:27,22,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 08:49:05,22,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 09:14:29,30,a little experienced,no experience,no experience,a little experienced,very experienced
14.06.2023 10:53:51,25,no experience,a little experienced,no experience,very experienced,very experienced
14.06.2023 11:35:27,21,very experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 12:14:15,21,very experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 15:33:40,26,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 17:14:05,24,no experience,a little experienced,no experience,very experienced,very experienced
14.06.2023 18:07:37,30,a little experienced,no experience,no experience,a little experienced,very experienced
14.06.2023 18:17:50,23,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 18:21:57,24,very experienced,very experienced,very experienced,very experienced,very experienced
14.06.2023 18:23:21,23,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 18:37:48,24,very experienced,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 18:39:36,25,a little experienced,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 18:45:09,24,very experienced,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 19:36:36,21,very experienced,very experienced,a little experienced,very experienced,a little experienced
14.06.2023 19:55:31,25,a little experienced,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 20:21:30,25,a little experienced,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 21:01:54,21,a little experienced,a little experienced,a little experienced,very experienced,very experienced
14.06.2023 21:07:20,23,no experience,a little experienced,no experience,a little experienced,very experienced
14.06.2023 21:19:44,23,no experience,a little experienced,no experience,a little experienced,very experienced
14.06.2023 21:45:40,20,a little experienced,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 21:53:55,23,no experience,a little experienced,no experience,a little experienced,very experienced
14.06.2023 22:03:59,23,a little experienced,a little experienced,very experienced,very experienced,very experienced
14.06.2023 22:33:09,20,a little experienced,very experienced,a little experienced,a little experienced,very experienced
14.06.2023 22:47:37,29,a little experienced,a little experienced,a little experienced,very experienced,very experienced
14.06.2023 23:05:56,27,a little experienced,very experienced,no experience,a little experienced,very experienced
14.06.2023 23:55:40,22,a little experienced,very experienced,a little experienced,a little experienced,very experienced
15.06.2023 00:08:37,20,a little experienced,very experienced,a little experienced,a little experienced,very experienced
15.06.2023 00:19:39,20,a little experienced,very experienced,a little experienced,a little experienced,very experienced
15.06.2023 00:45:18,22,a little experienced,a little experienced,very experienced,very experienced,very experienced
15.06.2023 01:46:51,24,a little experienced,a little experienced,no experience,very experienced,very experienced
15.06.2023 03:00:16,28,a little experienced,a little experienced,a little experienced,very experienced,very experienced
